date,time,computer.platform,computer.os,display.canvaswidth,display.canvasheight,display.width,display.height,display.refreshrate,blockcode,trialcode,trial_number,Age,Sex,Handedness,response_time,mousex,mousey,audio_condition_select,survey_Q1,survey_Q2,survey_Q3,survey_Q4,survey_Q5
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,R3_trial,51,37,Female,Right-handed,1191,1136,648,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,Mouse_test,51,37,Female,Right-handed,1382,879,604,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,centermouse,51,37,Female,Right-handed,1382,879,604,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,F0_M3_trial,52,37,Female,Right-handed,1382,879,604,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,R3_trial,52,37,Female,Right-handed,1382,879,604,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,Mouse_test,52,37,Female,Right-handed,1084,880,593,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,centermouse,52,37,Female,Right-handed,1084,880,593,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,F0_M1_trial,53,37,Female,Right-handed,1084,880,593,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,R1_trial,53,37,Female,Right-handed,1084,880,593,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,Mouse_test,53,37,Female,Right-handed,1355,915,613,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R1,centermouse,53,37,Female,Right-handed,1355,915,613,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,F0_M3_trial,54,37,Female,Right-handed,1355,915,613,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,W3_trial,54,37,Female,Right-handed,1355,915,613,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,Mouse_test,54,37,Female,Right-handed,1197,1176,663,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,centermouse,54,37,Female,Right-handed,1197,1176,663,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,F0_M1_trial,55,37,Female,Right-handed,1197,1176,663,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,W1_trial,55,37,Female,Right-handed,1197,1176,663,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,Mouse_test,55,37,Female,Right-handed,1525,1122,639,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,centermouse,55,37,Female,Right-handed,1525,1122,639,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,F0_M2_trial,56,37,Female,Right-handed,1525,1122,639,4,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,W2_trial,56,37,Female,Right-handed,1525,1122,639,4,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,Mouse_test,56,37,Female,Right-handed,1339,1170,648,4,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,centermouse,56,37,Female,Right-handed,1339,1170,648,4,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,F0_M3_trial,57,37,Female,Right-handed,1339,1170,648,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,W3_trial,57,37,Female,Right-handed,1339,1170,648,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,Mouse_test,57,37,Female,Right-handed,1467,1193,660,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,centermouse,57,37,Female,Right-handed,1467,1193,660,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,F0_M3_trial,58,37,Female,Right-handed,1467,1193,660,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,R3_trial,58,37,Female,Right-handed,1467,1193,660,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,Mouse_test,58,37,Female,Right-handed,1223,867,590,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,centermouse,58,37,Female,Right-handed,1223,867,590,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,F0_M3_trial,59,37,Female,Right-handed,1223,867,590,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,R3_trial,59,37,Female,Right-handed,1223,867,590,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,Mouse_test,59,37,Female,Right-handed,949,885,597,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,centermouse,59,37,Female,Right-handed,949,885,597,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,F0_M1_trial,60,37,Female,Right-handed,949,885,597,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,W1_trial,60,37,Female,Right-handed,949,885,597,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,Mouse_test,60,37,Female,Right-handed,1204,1120,656,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,centermouse,60,37,Female,Right-handed,1204,1120,656,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,F0_M1_trial,61,37,Female,Right-handed,1204,1120,656,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,W1_trial,61,37,Female,Right-handed,1204,1120,656,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,Mouse_test,61,37,Female,Right-handed,1206,1123,639,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,centermouse,61,37,Female,Right-handed,1206,1123,639,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,middle_break,break,61,37,Female,Right-handed,1206,1123,639,1,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,F0_M2_trial,62,37,Female,Right-handed,1206,1123,639,3,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,W2_trial,62,37,Female,Right-handed,1206,1123,639,3,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,Mouse_test,62,37,Female,Right-handed,1127,1192,653,3,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,centermouse,62,37,Female,Right-handed,1127,1192,653,3,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R2,F0_M2_trial,63,37,Female,Right-handed,1127,1192,653,3,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R2,R2_trial,63,37,Female,Right-handed,1127,1192,653,3,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R2,Mouse_test,63,37,Female,Right-handed,1239,911,614,3,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R2,centermouse,63,37,Female,Right-handed,1239,911,614,3,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,F0_M3_trial,64,37,Female,Right-handed,1239,911,614,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,W3_trial,64,37,Female,Right-handed,1239,911,614,6,0,0,0,0,0
