"ID","Action_Dir","Action_length","Sound","x_disp","y_disp"
33,"R","3","S2",24.2,-24.4
33,"W","1","S1",-43.0909090909091,-6.18181818181818
33,"W","1","S2",-19.5,0.833333333333333
33,"W","2","S1",-30.6363636363636,-1.81818181818182
33,"W","2","S2",-6.7,-1.8
33,"W","3","S1",-1.63636363636364,6.90909090909091
33,"W","3","S2",3.25,5.83333333333333
34,"R","1","S1",28.2727272727273,-5.09090909090909
34,"R","1","S2",26.1818181818182,-1.90909090909091
34,"R","2","S1",27.6,-8.8
34,"R","2","S2",25.8,-3.8
34,"R","3","S1",18.0833333333333,-2.33333333333333
34,"R","3","S2",20.7272727272727,-2.45454545454545
34,"W","1","S1",-6.58333333333333,-0.666666666666667
34,"W","1","S2",3.63636363636364,1.63636363636364
34,"W","2","S1",1.90909090909091,3.45454545454545
34,"W","2","S2",3.7,0.4
34,"W","3","S1",2.09090909090909,9.45454545454546
34,"W","3","S2",18.1,6.2
35,"R","1","S1",32.3265007320644,-4.765625
35,"R","1","S2",14.4758418740849,2.546875
35,"R","2","S1",29.5563689604686,1.28125
35,"R","2","S2",21.9663250366032,2.546875
35,"R","3","S1",16.1639824304539,-10.109375
35,"R","3","S2",18.5662185545056,-8.81818181818182
35,"W","1","S1",-18.9992013842672,-2.90340909090909
35,"W","1","S2",4.4992679355784,-0.21875
35,"W","2","S1",-8.44948755490482,-1.046875
